geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn_pred_2025,deforestacion_2025_mlp,deforestacion_2025_lstm,deforestacion_2025_cnn,area_km2_2024,deforestacion_2025_mlp_km2,deforestacion_2025_lstm_km2,deforestacion_2025_cnn_km2
050512,Ayacucho,Union Progreso,0.111609034,0.11121323788504694,0.11538190578281082,0.10769166374662659,0.00039579635519887413,-0.003772871542565004,0.003917370493619232,40.3677,0.01597738852776159,-0.1523021465688013,0.1581352368752731
060801,Cajamarca,Jaen,0.31453162,0.31772332141434295,0.3125120196271045,0.3110266998084249,-0.0031916970971737624,0.0020196046900646802,0.0035049245087442893,562.4649,-1.7952175885921304,1.1359567500367613,1.9713970133184056
060803,Cajamarca,Chontali,0.53261256,0.5475781549673987,0.525811602601686,0.5442165291989023,-0.01496559278783327,0.006800959577879406,-0.011603967019336858,467.5851,-6.997688200258299,3.1800273643187,-5.425842079133327
060804,Cajamarca,Colasay,0.29882133,0.30535136019368575,0.3006841279945813,0.2976155371547567,-0.006530030123190145,-0.0018627979240856685,0.0012057929157389125,609.327,-3.9789236648730815,-1.135053070689348,0.7347221799684444
060807,Cajamarca,Pomahuaca,0.4155078,0.4182631134457154,0.41299439372866265,0.4106553639385851,-0.0027553200192017013,0.0025133996978510265,0.004852429487928578,822.0473999999999,-2.2650036579527084,2.0661336867792217,3.9889270442350186
060809,Cajamarca,Sallique,0.29897907,0.30332552943658814,0.3078334300352895,0.2999916046643958,-0.00434645567369446,-0.008854356272395836,-0.0010125309015021067,370.1637,-1.6089001140607342,-3.2775612789082507,-0.37480218486435535
060810,Cajamarca,San Felipe,0.3593838,0.36181756573740453,0.35989260124690137,0.35419728524031696,-0.002433774052300164,-0.0005088095617969968,0.005186506444787409,259.101,-0.6305932907250248,-0.13183306627116365,1.3438290063508624
060811,Cajamarca,San Jose Del Alto,0.46596694,0.4959740098076548,0.4626193349606325,0.4759757013493039,-0.030007069881507364,0.00334760496551495,-0.010008761423156431,509.77799999999996,-15.29694407005506,1.70653536411028,-5.102246380773839
060812,Cajamarca,Santa Rosa,0.33246604,0.3335978520696183,0.32985936434975255,0.32974679996866624,-0.0011318159883041967,0.0026066717315615384,0.0027192361126478493,314.4285,-0.3558752034785061,0.8196118825472971,0.8550053320456942
060901,Cajamarca,San Ignacio,0.3073136,0.31024952604457046,0.2989822353162377,0.3047071941177965,-0.0029359348027339083,0.00833135592559886,0.0026063971240400385,359.94599999999997,-1.0567779885048592,2.998838239995607,0.9381622192097157
060902,Cajamarca,Chirinos,0.40758803,0.41071401856227224,0.4003766963877259,0.40370889231236123,-0.0031259836940318864,0.007211338480514473,0.0038791425558791226,359.6904,-1.1243863252998068,2.593849222591643,1.395290337581184
060903,Cajamarca,Huarango,0.6348833,0.6331926593391614,0.6298799792010001,0.6294553073585667,0.0016906252296252644,0.005003305367786481,0.005427977210219925,917.2899,1.5507934478204357,4.589481480486325,4.979028672364914
060904,Cajamarca,La Coipa,0.38975024,0.3974021699981948,0.37917566212515186,0.384988741674819,-0.007651927764918409,0.01057458010812451,0.0047615005584573655,409.005,-3.129676715490454,4.325056137123465,1.9474775359118548
060907,Cajamarca,Tabaconas,0.6547734,0.6489300684064452,0.6434993796500155,0.6451417469712308,0.005843345728534066,0.01127403448496378,0.009631667163748414,781.0965,4.564216896847909,8.806108877084512,7.523261510768813
080408,Cusco,Yanatile,0.48107463,0.4895770530084034,0.4828716893649295,0.48010605382082633,-0.008502421794261528,-0.0017970581507876782,0.0009685773933155173,2055.7637999999997,-17.478970936973894,-3.6943270928842495,1.9911663426764021
080901,Cusco,Santa Ana,0.57289124,0.5713440655063455,0.5716484783341315,0.5728385911227832,0.0015471698452169669,0.0012427570174310398,5.264422877926389e-05,404.0793,0.6251793080363803,0.5021723856736223,0.021272443114164808
080903,Cusco,Huayopata,0.536698,0.5416999660091874,0.5381321310018752,0.5346849667146965,-0.005001982267427096,-0.0014341472601149263,0.0020130170270638015,547.3872,-2.7380210678165695,-0.7850338531019813,1.1018997539967785
080904,Cusco,Maranura,0.5441886,0.5478495477532944,0.5459774724322622,0.5383094482955679,-0.0036609290933212746,-0.0017888537722891007,0.005879170364405217,169.9137,-0.6220420076838631,-0.3039507632085986,0.9989515895464388
080905,Cusco,Ocobamba,0.44718328,0.452872092434023,0.4490036256642482,0.44714944296898196,-0.00568881125078019,-0.001820344481005376,3.383821426083955e-05,890.2323,-5.064363524047925,-1.6205294541177222,0.030123871309319993
080906,Cusco,Quellouno,0.7143641,0.7084098319126435,0.7116123768898258,0.703158766631593,0.0059542795108489255,0.0027517345336666166,0.011205344791899385,2024.6796,12.055508258313798,5.5713807749303115,22.68723301112493
080918,Cusco,Union Ashaninka,0.730696,0.7283520884831368,0.7250819417806765,0.7239571056066283,0.0023439340273917475,0.0056140807298520334,0.006738916903900272,316.3455,0.7414929818622561,1.7759891755254065,2.1318260374227833
081304,Cusco,Machupicchu,0.3669124,0.37357075096454306,0.3709197462160332,0.35867433158882145,-0.006658356202503879,-0.004007351453994001,0.008238063173217736,373.19669999999996,-2.4848765621989792,-1.495530338370763,3.074417990636387
