GEOCODE,CATEG_ID,LEVEL_1,Departamento,LEVEL_3,Distrito,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,pixeles_validos,pixeles_cambiados,pixeles_no_cambiados,% Cambio
120607,95,Perú,Junin,Satipo,Rio Negro,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1560,[Rio Negro][Satipo][Junin][Perú],POLITICAL_LEVEL_4,559483,233266,326217,41.69313455457985
010502,95,Perú,Amazonas,Luya,Camporredondo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1272,[Camporredondo][Luya][Amazonas][Perú],POLITICAL_LEVEL_4,195802,81449,114353,41.59763434489944
060904,95,Perú,Cajamarca,San Ignacio,La Coipa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1480,[La Coipa][San Ignacio][Cajamarca][Perú],POLITICAL_LEVEL_4,427677,176700,250977,41.316226965677366
250106,95,Perú,Ucayali,Coronel Portillo,Nueva Requena,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,969,[Nueva Requena][Coronel Portillo][Ucayali][Perú],POLITICAL_LEVEL_4,2335288,964461,1370827,41.2994457214699
220802,95,Perú,San Martin,Rioja,Awajun,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1005,[Awajun][Rioja][San Martin][Perú],POLITICAL_LEVEL_4,573322,234965,338357,40.98307757246364
060812,95,Perú,Cajamarca,Jaen,Santa Rosa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1370,[Santa Rosa][Jaen][Cajamarca][Perú],POLITICAL_LEVEL_4,260486,106407,154079,40.8494122524819
250302,95,Perú,Ucayali,Padre Abad,Irazola,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,961,[Irazola][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,2131944,870523,1261421,40.83235769795079
010109,95,Perú,Amazonas,Chachapoyas,La Jalca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1246,[La Jalca][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4,140726,57080,83646,40.561090345778325
220906,95,Perú,San Martin,San Martin,El Porvenir,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1348,[El Porvenir][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,553548,223905,329643,40.44906674759912
010206,95,Perú,Amazonas,Bagua,La Peca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1060,[La Peca][Bagua][Amazonas][Perú],POLITICAL_LEVEL_4,133440,53542,79898,40.124400479616305
