geocode,departamento,distrito,elev_media_m,elev_mediana_m,elev_std_m,elev_min_m,elev_max_m,elev_count_px
010116,Amazonas,Olleros,3163.6466569921777,3154.0,380.57518314204276,2156.0,4001.0,113012
010605,Amazonas,Limabamba,2251.8572683490183,2167.0,447.52177947252613,1155.0,3782.0,651152
100804,Huanuco,Umari,2764.322945146322,2743.0,462.8488384091619,1604.0,4209.0,167883
220504,San Martin,Caynarachi,373.8554154506501,206.0,254.34624981134948,146.0,1525.0,1346610
080905,Cusco,Ocobamba,2955.750988133802,2928.0,969.1972904752844,903.0,5277.0,931048
010517,Amazonas,San Francisco Del Yeso,2895.44235482263,2887.0,394.12145218782615,1965.0,3761.0,192592
120609,Junin,Vizcatán Del Ene,1353.3759787929469,1230.0,679.3595481789013,438.0,3482.0,654122
060807,Cajamarca,Pomahuaca,2035.1726339884942,2047.0,531.2363294717751,921.0,3675.0,859738
010304,Amazonas,Corosha,2390.8234297916206,2410.0,331.0433001544918,1743.0,3116.0,67905
221005,San Martin,Uchiza,991.25616955672,839.0,591.4601261421151,476.0,4088.0,642145
220807,San Martin,San Fernando,822.922207337744,822.0,6.503224428051364,805.0,854.0,73156
050512,Ayacucho,Union Progreso,1140.9740982984977,1139.0,298.1177392753953,656.0,1980.0,42198
060804,Cajamarca,Colasay,1694.3354215347338,1696.0,488.2143771416214,576.0,3236.0,637231
160503,Loreto,Capelo,109.59856247439525,110.0,5.423686390349905,70.0,159.0,847011
220910,San Martin,Morales,319.3084413166518,297.0,70.92933659376683,243.0,704.0,53712
120604,Junin,Mazamari,931.507738453375,878.0,365.48245939507217,302.0,2037.0,1351239
120603,Junin,Llaylla,2147.637952955175,1935.0,942.4001320883663,-342.0,4353.0,331131
010520,Amazonas,Santa Catalina,2292.859504985714,2277.0,529.6675520143297,1071.0,3589.0,174298
010603,Amazonas,Cochamal,2384.7797097209013,2331.0,412.75187575298946,1564.0,3497.0,191402
120209,Junin,Mariscal Castilla,3003.4100587310777,3000.0,424.06801830285707,1971.0,4034.0,60445
010601,Amazonas,San Nicolas,2161.606776465369,2169.0,438.60343508733143,1468.0,3461.0,108198
010519,Amazonas,San Juan De Lopecancha,2613.6525519187235,2666.0,340.1540435328281,1820.0,3515.0,91441
160211,Loreto,Teniente Cesar Lopez Rojas,178.91973961716656,185.0,25.82602622243927,116.0,258.0,1397788
080408,Cusco,Yanatile,2883.6342946338705,2941.0,778.2471477732812,905.0,5281.0,2150004
050408,Ayacucho,Llochegua,1909.9369111557985,1706.0,1032.30688780378,479.0,4440.0,555962
100507,Huanuco,Monzon,2213.7139763803193,2045.0,1005.7307123472918,658.0,4700.0,1497226
081304,Cusco,Machupicchu,3455.241695426816,3498.0,819.7780078502886,1388.0,6234.0,390297
220909,San Martin,La Banda De Shilcayo,678.4161165055417,685.0,272.805118200841,195.0,1657.0,282493
220103,San Martin,Habana,837.2260341701917,834.0,13.672490169753319,815.0,886.0,72812
100606,Huanuco,Mariano Damaso Beraun,1408.1728231361706,1362.0,447.5173821306302,639.0,3525.0,796398
010508,Amazonas,Lonya Chico,2631.727549425912,2581.0,323.9510639194962,1685.0,3573.0,73595
170102,Madre De Dios,Inambari,277.2809822142412,259.0,55.57721816699941,180.0,592.0,5235762
050502,Ayacucho,Anco,2749.336784739123,2905.0,1009.5226761584631,632.0,4626.0,808656
010523,Amazonas,Trita,2887.9674198988196,2877.0,116.4929229483621,2552.0,3236.0,14825
010516,Amazonas,San Cristobal,2393.181093363808,2449.0,422.9983623288752,1403.0,3263.0,37627
080918,Cusco,Union Ashaninka,1619.2947957311637,1522.0,802.6716741134229,477.0,3625.0,330863
221006,San Martin,Santa Lucia,597.7268248929626,499.0,223.2464195273433,465.0,1506.0,285414
100702,Huanuco,Cholon,2648.3284217989703,2901.0,1100.7579448543909,491.0,4791.0,2344074
211205,Puno,Phara,2815.437818392731,2938.0,887.0977132150744,926.0,4683.0,468957
170204,Madre De Dios,Huepetuhe,481.9148615770333,435.0,151.8604682848734,267.0,1246.0,1644886
010302,Amazonas,Chisquilla,2834.7008521549183,2873.0,393.68910016987263,1860.0,3679.0,171213
050507,Ayacucho,Santa Rosa,2121.2721992136053,1901.0,1127.9202623562057,581.0,4388.0,419891
220804,San Martin,Nueva Cajamarca,1457.961795006704,1273.0,647.4137920108406,819.0,3611.0,353514
220809,San Martin,Yuracyacu,818.7037358421629,817.0,6.432274374088752,804.0,847.0,65688
160603,Loreto,Padre Marquez,176.57926290985174,159.0,41.70703693632231,76.0,500.0,2589534
010522,Amazonas,Tingo,2675.138936535163,2691.0,443.69594131856417,1736.0,3629.0,115434
080906,Cusco,Quellouno,1870.4354871844278,1784.0,709.7247826957927,532.0,4054.0,2117463
010301,Amazonas,Jumbilla,2674.4378596704437,2672.0,386.725003353931,1771.0,3453.0,167862
080917,Cusco,Manitea,1778.690527861524,1686.0,740.8587094794649,615.0,3637.0,153904
