zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
19,2.384538,2689.000000,-0.646142,-74.372788,2157,18925,2343,19011
1975,2.384538,2689.000000,-5.483637,-75.867373,20177,13358,20244,13467
2272,2.381877,2686.000000,-6.006915,-78.380620,22103,4060,22188,4134
4749,2.380991,2685.000000,-12.474079,-74.077700,46063,20027,46209,20108
2642,2.380991,2685.000000,-6.838156,-77.478478,25197,7394,25271,7498
3462,2.380104,2684.000000,-9.277702,-73.981224,34084,20222,34442,20609
3296,2.378330,2682.000000,-8.763876,-73.968282,32345,20424,32411,20530
1494,2.376557,2680.000000,-4.716633,-76.824783,17269,9829,17474,9922
229,2.375670,2679.000000,-2.480670,-75.777907,8988,13688,9132,13820
2555,2.375670,2679.000000,-6.615900,-74.993967,24337,16554,24501,16703
2069,2.374783,2678.000000,-5.675530,-77.796154,20849,6219,20972,6323
4436,2.374783,2678.000000,-11.663457,-74.435472,43092,18673,43178,18790
2005,2.373896,2677.000000,-5.547124,-77.951157,20410,5620,20481,5748
280,2.373896,2677.000000,-2.786198,-75.085727,10131,16291,10277,16362
4625,2.370349,2673.000000,-12.167524,-72.568270,44988,25543,45032,25837
1048,2.368576,2671.000000,-4.221799,-76.047943,15457,12720,15577,12787
4440,2.367689,2670.000000,-11.668215,-73.982726,43117,20337,43196,20495
1000,2.365029,2667.000000,-4.179622,-75.283112,15311,15546,15417,15655
405,2.364142,2666.000000,-3.321187,-72.978146,12154,24043,12215,24246
4293,2.363255,2665.000000,-11.284126,-74.643747,41676,17920,41788,18001
3451,2.360595,2662.000000,-9.207413,-75.074211,33969,16318,34068,16407
3059,2.360595,2662.000000,-8.279298,-76.449622,30508,11203,30637,11304
3731,2.359708,2661.000000,-9.888310,-75.891503,36495,13284,36603,13395
2942,2.357048,2658.000000,-7.982024,-77.026926,29411,9074,29527,9185
894,2.355274,2656.000000,-4.058386,-76.831762,14826,9793,15042,9898
1067,2.354387,2655.000000,-4.251300,-73.183141,15553,23333,15718,23413
1161,2.354387,2655.000000,-4.340778,-73.440677,15882,22389,16039,22473
225,2.354387,2655.000000,-2.472024,-75.770686,8957,13721,9103,13839
546,2.351727,2652.000000,-3.602498,-72.962364,13166,24146,13268,24265
4432,2.350840,2651.000000,-11.640062,-69.160822,43019,38235,43079,38370
2189,2.349953,2650.000000,-5.901981,-74.420745,21713,18734,21810,18838
739,2.349953,2650.000000,-3.879345,-71.694452,14216,28868,14291,28949
2579,2.347293,2647.000000,-6.663207,-76.986267,24547,9178,24645,9425
3899,2.346406,2646.000000,-10.511225,-75.125407,38732,16105,38998,16264
3494,2.346406,2646.000000,-9.304741,-74.228697,34314,19471,34445,19530
80,2.345520,2645.000000,-1.695924,-74.630980,6085,17981,6219,18043
105,2.345520,2645.000000,-1.928915,-74.603124,6957,18071,7070,18185
2986,2.345520,2645.000000,-8.100021,-75.120695,29851,16163,29978,16227
4517,2.342859,2642.000000,-11.884731,-70.180960,43916,34470,44016,34581
3012,2.341972,2641.000000,-8.153776,-74.987851,30068,16649,30160,16719
5431,2.341086,2640.000000,-14.313870,-69.456044,52931,37152,53018,37302
4435,2.341086,2640.000000,-11.654358,-74.522092,43062,18338,43140,18488
2840,2.339312,2638.000000,-7.597124,-77.433444,27995,7560,28126,7675
4450,2.338425,2637.000000,-11.682044,-72.414351,43163,26168,43244,26288
4056,2.337539,2636.000000,-10.852474,-74.820492,40070,17265,40189,17358
2257,2.337539,2636.000000,-5.986514,-74.942474,22039,16793,22113,16908
3132,2.336652,2635.000000,-8.394301,-76.828018,30955,9783,31040,9950
189,2.335765,2634.000000,-2.370163,-72.620494,8613,25397,8725,25604
2916,2.334878,2633.000000,-7.911632,-75.571211,29117,14449,29272,14582
1045,2.333105,2631.000000,-4.214643,-76.094381,15446,12537,15542,12626
4980,2.332218,2630.000000,-12.846279,-69.419391,47441,37298,47624,37418
4296,2.329558,2627.000000,-11.284415,-74.350533,41691,18999,41776,19092
2104,2.329558,2627.000000,-5.733436,-79.031257,21085,1643,21181,1721
4982,2.329558,2627.000000,-12.838552,-72.575745,47452,25579,47538,25721
2410,2.328671,2626.000000,-6.288681,-77.514837,23160,7269,23225,7375
2084,2.326897,2624.000000,-5.703428,-74.864974,20966,17095,21062,17190
2936,2.323350,2620.000000,-7.958291,-77.237162,29310,8292,29478,8390
1089,2.322463,2619.000000,-4.266600,-76.610058,15638,10602,15744,10730
4449,2.322463,2619.000000,-11.685496,-71.673072,43160,28939,43270,29038
