GEOCODE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME
010523,95,Perú,Amazonas,Luya,Trita,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,722,[Trita][Luya][Amazonas][Perú],POLITICAL_LEVEL_4
010512,95,Perú,Amazonas,Luya,Ocalli,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,723,[Ocalli][Luya][Amazonas][Perú],POLITICAL_LEVEL_4
010114,95,Perú,Amazonas,Chachapoyas,Molinopampa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,726,[Molinopampa][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4
010121,95,Perú,Amazonas,Chachapoyas,Sonche,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,727,[Sonche][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4
010612,95,Perú,Amazonas,Rodriguez De Mendoza,Vista Alegre,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,731,[Vista Alegre][Rodriguez De Mendoza][Amazonas][Perú],POLITICAL_LEVEL_4
080902,95,Perú,Cusco,La Convencion,Echarate,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,768,[Echarate][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
050505,95,Perú,Ayacucho,La Mar,Chungui,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,769,[Chungui][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
080913,95,Perú,Cusco,La Convencion,Villa Kintiarina,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,772,[Villa Kintiarina][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
090721,95,Perú,Huancavelica,Tayacaja,Roble,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,774,[Roble][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
120609,95,Perú,Junin,Satipo,Vizcatán Del Ene,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,775,[Vizcatán Del Ene][Satipo][Junin][Perú],POLITICAL_LEVEL_4
090717,95,Perú,Huancavelica,Tayacaja,Surcubamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,777,[Surcubamba][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
090707,95,Perú,Huancavelica,Tayacaja,Huachocolpa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,778,[Huachocolpa][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
090724,95,Perú,Huancavelica,Tayacaja,Lambras,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,779,[Lambras][Tayacaja][Huancavelica][Perú],POLITICAL_LEVEL_4
050512,95,Perú,Ayacucho,La Mar,Union Progreso,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,780,[Union Progreso][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050413,95,Perú,Ayacucho,Huanta,Putis,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,781,[Putis][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050513,95,Perú,Ayacucho,La Mar,Rio Magdalena,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,782,[Rio Magdalena][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
080915,95,Perú,Cusco,La Convencion,Kumpirushiato,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,785,[Kumpirushiato][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080916,95,Perú,Cusco,La Convencion,Cielo Punco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,786,[Cielo Punco][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080917,95,Perú,Cusco,La Convencion,Manitea,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,787,[Manitea][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080918,95,Perú,Cusco,La Convencion,Union Ashaninka,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,791,[Union Ashaninka][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
120708,95,Perú,Junin,Tarma,San Pedro De Cajas,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,792,[San Pedro De Cajas][Tarma][Junin][Perú],POLITICAL_LEVEL_4
120704,95,Perú,Junin,Tarma,Huasahuasi,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,793,[Huasahuasi][Tarma][Junin][Perú],POLITICAL_LEVEL_4
010106,95,Perú,Amazonas,Chachapoyas,Chuquibamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,797,[Chuquibamba][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4
100104,95,Perú,Huanuco,Huanuco,Churubamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,799,[Churubamba][Huanuco][Huanuco][Perú],POLITICAL_LEVEL_4
100803,95,Perú,Huanuco,Pachitea,Molino,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,800,[Molino][Pachitea][Huanuco][Perú],POLITICAL_LEVEL_4
100804,95,Perú,Huanuco,Pachitea,Umari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,801,[Umari][Pachitea][Huanuco][Perú],POLITICAL_LEVEL_4
100507,95,Perú,Huanuco,Huamalies,Monzon,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,809,[Monzon][Huamalies][Huanuco][Perú],POLITICAL_LEVEL_4
100901,95,Perú,Huanuco,Puerto Inca,Puerto Inca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,812,[Puerto Inca][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4
100902,95,Perú,Huanuco,Puerto Inca,Codo Del Pozuzo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,813,[Codo Del Pozuzo][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4
100401,95,Perú,Huanuco,Huacaybamba,Huacaybamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,821,[Huacaybamba][Huacaybamba][Huanuco][Perú],POLITICAL_LEVEL_4
100403,95,Perú,Huanuco,Huacaybamba,Cochabamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,823,[Cochabamba][Huacaybamba][Huanuco][Perú],POLITICAL_LEVEL_4
100702,95,Perú,Huanuco,Marañon,Cholon,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,825,[Cholon][Marañon][Huanuco][Perú],POLITICAL_LEVEL_4
100801,95,Perú,Huanuco,Pachitea,Panao,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,828,[Panao][Pachitea][Huanuco][Perú],POLITICAL_LEVEL_4
220703,95,Perú,San Martin,Picota,Caspisapa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,829,[Caspisapa][Picota][San Martin][Perú],POLITICAL_LEVEL_4
220202,95,Perú,San Martin,Bellavista,Alto Biavo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,830,[Alto Biavo][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4
220913,95,Perú,San Martin,San Martin,Sauce,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,837,[Sauce][San Martin][San Martin][Perú],POLITICAL_LEVEL_4
100103,95,Perú,Huanuco,Huanuco,Chinchao,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,842,[Chinchao][Huanuco][Huanuco][Perú],POLITICAL_LEVEL_4
100802,95,Perú,Huanuco,Pachitea,Chaglla,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,845,[Chaglla][Pachitea][Huanuco][Perú],POLITICAL_LEVEL_4
100311,95,Perú,Huanuco,Dos De Mayo,Marias,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,848,[Marias][Dos De Mayo][Huanuco][Perú],POLITICAL_LEVEL_4
100505,95,Perú,Huanuco,Huamalies,Jircan,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,852,[Jircan][Huamalies][Huanuco][Perú],POLITICAL_LEVEL_4
100602,95,Perú,Huanuco,Leoncio Prado,Daniel Alomia Robles,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,853,[Daniel Alomia Robles][Leoncio Prado][Huanuco][Perú],POLITICAL_LEVEL_4
100502,95,Perú,Huanuco,Huamalies,Arancay,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,854,[Arancay][Huamalies][Huanuco][Perú],POLITICAL_LEVEL_4
100605,95,Perú,Huanuco,Leoncio Prado,Luyando,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,855,[Luyando][Leoncio Prado][Huanuco][Perú],POLITICAL_LEVEL_4
100903,95,Perú,Huanuco,Puerto Inca,Honoria,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,867,[Honoria][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4
100904,95,Perú,Huanuco,Puerto Inca,Tournavista,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,868,[Tournavista][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4
120304,95,Perú,Junin,Chanchamayo,San Luis De Shuaro,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,869,[San Luis De Shuaro][Chanchamayo][Junin][Perú],POLITICAL_LEVEL_4
120504,95,Perú,Junin,Junin,Ulcumayo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,871,[Ulcumayo][Junin][Junin][Perú],POLITICAL_LEVEL_4
100905,95,Perú,Huanuco,Puerto Inca,Yuyapichis,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,872,[Yuyapichis][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4
160602,95,Perú,Loreto,Ucayali,Inahuaya,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,873,[Inahuaya][Ucayali][Loreto][Perú],POLITICAL_LEVEL_4
160603,95,Perú,Loreto,Ucayali,Padre Marquez,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,874,[Padre Marquez][Ucayali][Loreto][Perú],POLITICAL_LEVEL_4
