geocode,pct_bosque_mean,pct_bosque_min,pct_bosque_max,pct_no_bosque_mean,pct_no_bosque_min,pct_no_bosque_max
160603,0.8648762244879414,0.7825643821674573,0.8912363920542319,0.1351237755120586,0.10876360794576813,0.21743561783254275
170102,0.911725815330042,0.7961427708008171,0.9433368676556297,0.08827418466995793,0.05666313234437027,0.20385722919918298
170204,0.871183553274976,0.7681001929031553,0.940735641418728,0.12881644672502401,0.05926435858127197,0.2318998070968447
200303,0.5202647224312433,0.4852629937700406,0.575938391870547,0.47973527756875667,0.424061608129453,0.5147370062299594
200307,0.3279873964953071,0.2947746186122911,0.43542422976420003,0.6720126035046929,0.5645757702358,0.705225381387709
211205,0.48433344573370346,0.469414052856274,0.5030920137529882,0.5156665542662966,0.4969079862470119,0.530585947143726
220101,0.7802055932769074,0.6824468632427669,0.8614186643519374,0.21979440672309258,0.13858133564806266,0.31755313675723307
220102,0.1800712153419948,0.14293717241326387,0.2587848882272138,0.8199287846580052,0.7412151117727862,0.8570628275867361
220106,0.33542542318748003,0.29572660491855635,0.3751133823059725,0.66457457681252,0.6248866176940274,0.7042733950814436
220201,0.1862242314338015,0.13763194361281714,0.2820454039997947,0.8137757685661985,0.7179545960002053,0.8623680563871828
220203,0.6619648501442084,0.46760271043793666,0.8309454047359157,0.3380351498557916,0.16905459526408434,0.5323972895620633
220204,0.6633308477250629,0.4480115710543708,0.8426904085509538,0.3366691522749371,0.1573095914490462,0.5519884289456292
220205,0.2921252420323832,0.21052671858936256,0.435273078856,0.7078747579676168,0.564726921144,0.7894732814106374
220301,0.3772354733105102,0.29614262803440167,0.523130699175662,0.6227645266894898,0.476869300824338,0.7038573719655984
220302,0.33097302280672164,0.2653338994782548,0.4544708968549874,0.6690269771932784,0.5455291031450126,0.7346661005217452
220303,0.7844604096763073,0.6580984629458327,0.9030150565088424,0.21553959032369274,0.09698494349115759,0.34190153705416726
220304,0.39043403662434567,0.30298646274671903,0.5219628482751494,0.6095659633756544,0.4780371517248506,0.697013537253281
220305,0.4031780419680585,0.30103845878392893,0.5706796533696197,0.5968219580319416,0.42932034663038027,0.698961541216071
220401,0.6788541370990633,0.5671674573888597,0.7601780138680507,0.3211458629009367,0.23982198613194924,0.4328325426111404
220403,0.3856267844809786,0.3264434270578937,0.43822224753821726,0.6143732155190215,0.5617777524617827,0.6735565729421062
220404,0.49951506891255926,0.3424492476654667,0.6628395628706735,0.5004849310874407,0.3371604371293265,0.6575507523345333
220405,0.387195995258843,0.30424070151563376,0.5130711063797097,0.612804004741157,0.4869288936202904,0.6957592984843662
220501,0.37873492197529846,0.2875963723491168,0.5084340823430066,0.6212650780247015,0.49156591765699337,0.7124036276508833
220502,0.559053908113216,0.47049753258635946,0.7672381466648668,0.44094609188678396,0.23276185333513327,0.5295024674136405
220503,0.7414736135261721,0.6310163034480208,0.8353090377024064,0.2585263864738278,0.1646909622975936,0.36898369655197916
220504,0.8239803407601572,0.747415989515072,0.8704125819134994,0.17601965923984272,0.12958741808650065,0.2525840104849279
220505,0.33896991384441255,0.26911668569309877,0.5057420796378148,0.6610300861555874,0.4942579203621852,0.7308833143069012
220506,0.8029117046317268,0.7511332340132209,0.8850247929683902,0.19708829536827327,0.11497520703160985,0.2488667659867792
220507,0.22598682452295688,0.13691271580522743,0.4354855951681009,0.7740131754770431,0.5645144048318991,0.8630872841947725
220510,0.559993973507983,0.4994034877555429,0.6213669213094793,0.44000602649201703,0.3786330786905206,0.5005965122444571
220511,0.1842113236949182,0.14587481603324387,0.2741193785106459,0.8157886763050819,0.7258806214893542,0.8541251839667561
220601,0.5170538561076092,0.4154359237556996,0.6366981676082601,0.4829461438923908,0.36330183239173985,0.5845640762443004
220605,0.42973791995377064,0.28854281971540074,0.607095654482663,0.5702620800462294,0.392904345517337,0.7114571802845993
220701,0.415512171213854,0.3634250939388989,0.5444576049665087,0.584487828786146,0.45554239503349125,0.6365749060611011
220702,0.3781082203036822,0.3138505783199904,0.5414667130768221,0.6218917796963178,0.45853328692317785,0.6861494216800096
220704,0.4781607516199826,0.4304284026127495,0.527250769410573,0.5218392483800174,0.4727492305894269,0.5695715973872505
