geocode,departamento,distrito,anio,pct_urbano
050512,Ayacucho,Union Progreso,2016,0.009587
060804,Cajamarca,Colasay,2016,0.001028
160503,Loreto,Capelo,2016,0.000452
220910,San Martin,Morales,2016,0.09125
120604,Junin,Mazamari,2016,0.002967
120603,Junin,Llaylla,2016,0.001168
010520,Amazonas,Santa Catalina,2016,0.000972
010603,Amazonas,Cochamal,2016,0.000649
120209,Junin,Mariscal Castilla,2016,0.003893
010601,Amazonas,San Nicolas,2016,0.011658
010519,Amazonas,San Juan De Lopecancha,2016,3.1e-05
160211,Loreto,Teniente Cesar Lopez Rojas,2016,0.000507
080408,Cusco,Yanatile,2016,0.00064
050408,Ayacucho,Llochegua,2016,0.002678
100507,Huanuco,Monzon,2016,0.001516
081304,Cusco,Machupicchu,2016,0.00083
220909,San Martin,La Banda De Shilcayo,2016,0.032526
220103,San Martin,Habana,2016,0.023452
100606,Huanuco,Mariano Damaso Beraun,2016,0.001201
010508,Amazonas,Lonya Chico,2016,0.005334
170102,Madre De Dios,Inambari,2016,0.000697
050502,Ayacucho,Anco,2016,0.00141
010523,Amazonas,Trita,2016,0.019592
010516,Amazonas,San Cristobal,2016,0.002827
080918,Cusco,Union Ashaninka,2016,0.002541
221006,San Martin,Santa Lucia,2016,0.005501
100702,Huanuco,Cholon,2016,0.000508
211205,Puno,Phara,2016,0.000157
170204,Madre De Dios,Huepetuhe,2016,0.000805
010302,Amazonas,Chisquilla,2016,0.0
050507,Ayacucho,Santa Rosa,2016,0.004311
220804,San Martin,Nueva Cajamarca,2016,0.03521
220809,San Martin,Yuracyacu,2016,0.018172
160603,Loreto,Padre Marquez,2016,0.000239
010522,Amazonas,Tingo,2016,0.003857
080906,Cusco,Quellouno,2016,0.000571
010301,Amazonas,Jumbilla,2016,0.001794
080917,Cusco,Manitea,2016,0.003247
250305,Ucayali,Alexander Von Humboldt,2017,0.006965
220509,San Martin,Shanao,2017,0.004926
250304,Ucayali,Neshuya,2017,0.004408
220501,San Martin,Lamas,2017,0.022326
220902,San Martin,Alberto Leveau,2017,0.002899
250102,Ucayali,Campoverde,2017,0.005547
220702,San Martin,Buenos Aires,2017,0.003572
220502,San Martin,Alonso De Alvarado,2017,0.004128
220404,San Martin,Piscoyacu,2017,0.004084
220708,San Martin,Shamboyacu,2017,0.000861
220204,San Martin,Huallaga,2017,0.001962
220605,San Martin,Pajarillo,2017,0.003297
010703,Amazonas,Cumba,2017,0.002226
220704,San Martin,Pilluana,2017,0.010233
220104,San Martin,Jepelacio,2017,0.006523
220505,San Martin,Cuñumbuqui,2017,0.004771
220507,San Martin,Rumisapa,2017,0.020712
220913,San Martin,Sauce,2017,0.009634
010608,Amazonas,Milpuc,2017,0.000683
220405,San Martin,Sacanche,2017,0.00287
