geocode,departamento,distrito,km_rios,area_utm_km2,densidad_rios_km_km2
100603,Huanuco,Hermilio Valdizan,0.0,285.5539288342109,0.0
010111,Amazonas,Levanto,6.012881477077494,74.92199260810337,0.08025522637297232
010518,Amazonas,San Jeronimo,10.235240545105247,208.20722025177392,0.04915891260989084
010609,Amazonas,Omia,16.670045431938515,225.2821208951564,0.07399630900890068
100902,Huanuco,Codo Del Pozuzo,168.12519435273865,3221.259969070146,0.05219237067701491
010113,Amazonas,Mariscal Castilla,3.364791806854845,78.94581105193274,0.0426215370013919
220101,San Martin,Moyobamba,135.83941339825518,2699.0740962939467,0.05032815274866814
010310,Amazonas,Shipasbamba,9.807367794522634,125.58193680968667,0.07809536979339014
100103,Huanuco,Chinchao,8.427708668716622,806.3725085222778,0.010451383919524817
010311,Amazonas,Valera,4.990291033158897,78.13542608981301,0.0638672018940908
060907,Cajamarca,Tabaconas,0.0,776.1743462663168,0.0
160112,Loreto,Belen,75.56855775279335,653.0257439860047,0.11572064110601571
200307,Piura,Sondor,27.548627507770252,344.7332541230618,0.07991288098344011
220803,San Martin,Elias Soplin Vargas,0.0,169.46460057512064,0.0
010506,Amazonas,Inguilpata,2.0038637880827617,118.71519955298292,0.016879589097505848
220506,San Martin,Pinto Recodo,25.22305745160014,559.7571247735508,0.04506071711334466
120303,Junin,Pichanaqui,32.8896027928824,1242.381349108362,0.026473033273146578
010202,Amazonas,Aramango,40.989698223367405,773.8140723197029,0.05297099095198727
010606,Amazonas,Longar,0.0,82.30073925112669,0.0
160101,Loreto,Iquitos,47.66985152026436,366.9135704938607,0.129921200396326
010507,Amazonas,Longuita,0.0,58.76234427770372,0.0
221001,San Martin,Tocache,34.428682330005664,1006.4661283797154,0.03420749229328913
010511,Amazonas,Maria,0.0,87.84410304210007,0.0
080901,Cusco,Santa Ana,20.836699159803103,391.7952459520712,0.053182623768620416
120302,Junin,Perene,47.302149856711196,1490.0235938218864,0.031745906610365776
050409,Ayacucho,Canayre,19.56421682076495,269.027344674239,0.07272203814246078
221002,San Martin,Nuevo Progreso,38.2383172884885,824.6433710375592,0.046369520002783
200303,Piura,El Carmen De La Frontera,28.979661408175854,660.183267600154,0.043896388821728895
100609,Huanuco,Pueblo Nuevo,11.498302759315512,320.1259174868183,0.035918062647298694
080903,Cusco,Huayopata,5.0187663824461035,530.5958101190477,0.009458737303862355
010604,Amazonas,Huambo,0.0,77.70256208695218,0.0
100505,Huanuco,Jircan,30.93959544043759,238.71392344872424,0.12960951331807596
010512,Amazonas,Ocalli,0.0,172.277723493434,0.0
010101,Amazonas,Chachapoyas,8.526130527787236,153.3889745744202,0.05558502852922188
060903,Cajamarca,Huarango,11.644585476696204,910.7395442212659,0.012785856890240763
010116,Amazonas,Olleros,0.0,106.89308274630041,0.0
010605,Amazonas,Limabamba,0.0,615.2410901472085,0.0
100804,Huanuco,Umari,10.20736104557215,157.0648825307435,0.06498818119686421
220504,San Martin,Caynarachi,0.0,1271.3611422880551,0.0
080905,Cusco,Ocobamba,2.8700260971802525,863.5225850970647,0.003323625978882354
010517,Amazonas,San Francisco Del Yeso,9.33429779801099,182.01871358495856,0.05128207761810238
120609,Junin,Vizcatán Del Ene,51.07222341782598,607.2476988730629,0.08410443302231757
060807,Cajamarca,Pomahuaca,27.238837706148555,816.0655603565059,0.03337824683380709
010304,Amazonas,Corosha,0.0,64.27194499625536,0.0
221005,San Martin,Uchiza,33.15102368944462,603.4569601830459,0.05493519153277967
220807,San Martin,San Fernando,17.981625029410264,69.17108092017922,0.25995871092661355
050512,Ayacucho,Union Progreso,5.4699609480261335,39.091650260704945,0.13992658052414217
