geocode,departamento,distrito,km_carreteras,area_utm_km2,densidad_carreteras_km_km2
010104,Amazonas,Cheto,18.14397016366745,70.38870266956128,0.2577682138686949
160201,Loreto,Yurimaguas,225.70943890446802,2234.637247198645,0.10100495692865531
060901,Cajamarca,San Ignacio,282.76421652939604,357.58958812342485,0.7907506983447118
220511,San Martin,Zapatero,64.86331844072222,174.4009589845579,0.3719206523770633
060811,Cajamarca,San Jose Del Alto,159.98138976085073,506.2022608744121,0.3160424243947457
010206,Amazonas,La Peca,41.8739765763989,138.45352286810026,0.30244067257350143
220401,San Martin,Saposoa,124.59735692043179,525.5455394530054,0.23708194165269547
060902,Cajamarca,Chirinos,258.1522777665929,357.1157433684856,0.7228812578565643
220908,San Martin,Juan Guerra,55.29901527286975,192.11798727779112,0.2878388226757273
060904,Cajamarca,La Coipa,311.32975668798014,406.1537461378945,0.7665317866655343
220808,San Martin,Yorongos,34.49663465527151,81.80643531677875,0.4216860754498142
120607,Junin,Rio Negro,405.1347415100895,488.1296776295428,0.8299735911930337
060812,Cajamarca,Santa Rosa,168.22618032087036,311.88852854047394,0.5393791849546642
250106,Ucayali,Nueva Requena,104.47381926454608,2059.982910936716,0.05071586696660494
220802,San Martin,Awajun,81.04195247618416,506.8900279879208,0.1598807394137874
250302,Ucayali,Irazola,132.1907909436629,1876.8509496375284,0.0704322263678917
010109,Amazonas,La Jalca,61.969969069235226,124.1966575624039,0.4989664801413659
220906,San Martin,El Porvenir,45.082787471612065,489.31067858617104,0.09213530267084222
220707,San Martin,San Hilarion,45.849573812928746,103.96379071012514,0.44101483314289547
220806,San Martin,Posic,28.09727207425158,52.59475802880956,0.5342219096979377
220406,San Martin,Tingo De Saposoa,18.63002027687382,46.94001934514918,0.39688991476308505
100901,Huanuco,Puerto Inca,195.24742838302004,2389.430614447735,0.08171295169755212
010105,Amazonas,Chiliquin,16.514044832136587,141.79353992680956,0.11646542459311435
220105,San Martin,Soritor,95.75188987516229,583.6924421759529,0.16404510827347338
220201,San Martin,Bellavista,113.54763101724444,259.38675716577006,0.4377541562180752
060803,Cajamarca,Chontali,49.64757395953082,464.28921274569814,0.10693243046920398
100605,Huanuco,Luyando,90.47250037482596,111.370964056425,0.8123526732604107
010307,Amazonas,Jazan,30.055018781650464,75.88576569976087,0.3960560785610571
010502,Amazonas,Camporredondo,48.04808193078132,219.27141980376928,0.21912605835170212
010515,Amazonas,Providencia,12.40378514445837,116.69289197318311,0.1062942646695983
010102,Amazonas,Asuncion,16.281915235317445,34.90294247360624,0.46649119189964866
010510,Amazonas,Luya Viejo,11.277102037915757,67.85993800356275,0.16618202682890298
100601,Huanuco,Rupa-Rupa,61.10236322562091,260.530149807674,0.23453087203430123
010514,Amazonas,Pisuquia,0.0,291.30718096018455,0.0
060810,Cajamarca,San Felipe,45.33253497816467,257.3615307363717,0.1761433997087974
010305,Amazonas,Cuispes,24.877719571356465,96.59903610092873,0.2575358986539337
060905,Cajamarca,Namballe,165.65161516569586,635.7675794770224,0.2605537314468907
010119,Amazonas,San Isidro De Maino,21.948194741353397,108.08418720400284,0.20306573337991995
060801,Cajamarca,Jaen,255.1221954798781,558.0183647773138,0.4571931885820437
010513,Amazonas,Ocumal,49.52378246384546,364.5391747353362,0.1358531151001833
220912,San Martin,San Antonio,11.666111613971358,78.28701300237218,0.14901720178821823
220903,San Martin,Cacatachi,34.45565743316455,52.4399063106058,0.6570503240238629
120602,Junin,Coviriali,100.02517449024963,97.54063039289605,1.025471888866678
120304,Junin,San Luis De Shuaro,181.41330947748173,192.3511894676437,0.9431358858739894
120601,Junin,Satipo,486.3917305056078,815.0776898883933,0.596742784816265
