geocode,departamento,distrito,anio,pct_rios_lagos
050507,Ayacucho,Santa Rosa,1994,0.008411
220804,San Martin,Nueva Cajamarca,1994,0.003421
220809,San Martin,Yuracyacu,1994,0.01919
160603,Loreto,Padre Marquez,1994,0.047853
010522,Amazonas,Tingo,1994,0.004248
080906,Cusco,Quellouno,1994,0.006309
010301,Amazonas,Jumbilla,1994,0.000566
080917,Cusco,Manitea,1994,0.003339
250305,Ucayali,Alexander Von Humboldt,1995,0.000215
220509,San Martin,Shanao,1995,0.016421
250304,Ucayali,Neshuya,1995,0.000873
220501,San Martin,Lamas,1995,0.003742
220902,San Martin,Alberto Leveau,1995,0.010791
250102,Ucayali,Campoverde,1995,0.003016
220702,San Martin,Buenos Aires,1995,0.015361
220502,San Martin,Alonso De Alvarado,1995,0.000597
220404,San Martin,Piscoyacu,1995,0.006311
220708,San Martin,Shamboyacu,1995,0.000237
220204,San Martin,Huallaga,1995,0.002581
220605,San Martin,Pajarillo,1995,0.011774
010703,Amazonas,Cumba,1995,0.007806
220704,San Martin,Pilluana,1995,0.018596
220104,San Martin,Jepelacio,1995,0.003806
220505,San Martin,Cuñumbuqui,1995,0.009938
220507,San Martin,Rumisapa,1995,0.002031
220913,San Martin,Sauce,1995,0.054413
010608,Amazonas,Milpuc,1995,0.000455
220405,San Martin,Sacanche,1995,0.008654
220709,San Martin,Tingo De Ponasa,1995,0.00018
220304,San Martin,Santa Rosa,1995,0.002088
100903,Huanuco,Honoria,1995,0.026203
220203,San Martin,Bajo Biavo,1995,0.006857
220710,San Martin,Tres Unidos,1995,0.000196
220510,San Martin,Tabalosos,1995,0.006432
100904,Huanuco,Tournavista,1995,0.013552
010701,Amazonas,Bagua Grande,1995,0.002337
220701,San Martin,Picota,1995,0.039405
220403,San Martin,El Eslabon,1995,0.007305
250105,Ucayali,Yarinacocha,1995,0.060666
220914,San Martin,Shapaja,1995,0.018152
010707,Amazonas,Yamon,1995,0.003963
010705,Amazonas,Jamalca,1995,0.001503
220205,San Martin,San Pablo,1995,0.008431
220705,San Martin,Pucacaca,1995,0.027206
220601,San Martin,Juanjui,1995,0.027275
100905,Huanuco,Yuyapichis,1995,0.011293
100608,Huanuco,Castillo Grande,1995,0.029071
220302,San Martin,Agua Blanca,1995,0.001821
250306,Ucayali,Huipoca,1995,0.008341
010611,Amazonas,Totora,1995,0.001006
010706,Amazonas,Lonya Grande,1995,0.000488
220706,San Martin,San Cristobal,1995,0.049022
010303,Amazonas,Churuja,1995,0.006765
220301,San Martin,San Jose De Sisa,1995,0.002312
010204,Amazonas,El Parco,1995,0.0
010306,Amazonas,Florida,1995,0.019968
220303,San Martin,San Martin,1995,0.002611
220106,San Martin,Yantalo,1995,0.022625
