geocode,departamento,distrito,pendiente_media_deg,pendiente_mediana_deg,pendiente_std_deg,pendiente_min_deg,pendiente_max_deg,pendiente_count_px
010204,Amazonas,El Parco,11.193380514895372,10.176713943481445,6.45752569452728,0.09342217445373535,38.61885452270508,19402
010306,Amazonas,Florida,20.641341159579408,19.8338623046875,10.612842389245067,0.0,76.2088851928711,236810
220303,San Martin,San Martin,18.197936392853666,17.182485580444336,8.547664463625818,0.03675904497504234,67.16429138183594,554466
220106,San Martin,Yantalo,3.965808436918597,2.677889347076416,4.603551635766767,0.002253887476399541,65.23772430419922,74174
220305,San Martin,Shatoja,12.188995464389018,10.130762100219727,8.877469186017647,0.015912067145109177,64.15214538574219,66033
010104,Amazonas,Cheto,20.287102780039238,19.323413848876953,9.837354438889413,0.08780946582555771,70.52091217041016,74927
160201,Loreto,Yurimaguas,4.152954393385628,3.5753328800201416,2.813437670412288,0.0,26.93938636779785,2379304
060901,Cajamarca,San Ignacio,21.174424590043387,21.252220153808594,9.125412698483581,2.5444437748716082e-14,67.34554290771484,380772
220511,San Martin,Zapatero,11.752656151555458,10.844931602478027,5.999122358096977,0.05503122881054878,50.8655891418457,185701
060811,Cajamarca,San Jose Del Alto,25.31547619047619,25.508575439453125,9.319323121664706,0.03400404006242752,87.10496520996094,538944
010206,Amazonas,La Peca,17.80880387967579,15.714123725891113,10.33511948576859,0.06487768888473511,75.0916976928711,147435
220401,San Martin,Saposoa,15.29412942080526,14.440759658813477,8.32749002137561,0.025254331529140472,72.60932922363281,559570
060902,Cajamarca,Chirinos,19.376185792320985,19.474609375,9.67774109303038,0.021955544129014015,67.3071517944336,380231
220908,San Martin,Juan Guerra,10.917960500586625,9.709821701049805,8.304379906810787,0.0,57.81462478637695,204560
060904,Cajamarca,La Coipa,22.57160926902701,22.538951873779297,8.717856305181952,0.036715131253004074,66.88947296142578,432451
220808,San Martin,Yorongos,13.807711849810541,9.045049667358398,12.770338592584805,0.008752413094043732,64.82732391357422,87090
120607,Junin,Rio Negro,20.84518261686055,21.304155349731445,9.94105494643666,0.022449782118201256,63.457740783691406,519722
060812,Cajamarca,Santa Rosa,17.998033653730335,16.423587799072266,9.927136429541946,1.2722218874358041e-14,69.36502838134766,332088
250106,Ucayali,Nueva Requena,4.179550950512095,3.245948314666748,3.400437892833476,0.0,36.794029235839844,2193344
220802,San Martin,Awajun,15.279624729951568,10.053606033325195,14.51003394509025,0.0,83.08671569824219,539718
250302,Ucayali,Irazola,6.919961047416163,6.311209678649902,3.9387349018701485,0.0029607766773551702,42.982730865478516,1998327
010109,Amazonas,La Jalca,18.356353852320773,17.57045555114746,8.455013574837253,0.041675008833408356,66.6390380859375,132219
220906,San Martin,El Porvenir,4.8934193377493616,3.5658509731292725,4.195529744006166,0.0,36.59258270263672,520981
220707,San Martin,San Hilarion,7.2678721462837315,4.840554714202881,6.382280037118743,0.0,31.487003326416016,110689
220806,San Martin,Posic,2.373367553970323,1.9752898216247559,1.6667407118106434,7.196773423511979e-14,13.25793743133545,56003
220406,San Martin,Tingo De Saposoa,11.347344800672431,10.507598876953125,8.38914108890139,0.0,45.510372161865234,49968
100901,Huanuco,Puerto Inca,9.596428296283019,6.772292137145996,8.908310468924304,0.0,74.27779388427734,2544108
010105,Amazonas,Chiliquin,22.626385181456286,21.408058166503906,9.891885038735087,0.14556574821472168,71.42198944091797,150973
220105,San Martin,Soritor,16.68475313737511,16.01797866821289,8.966181863656063,0.0010845628567039967,80.64918518066406,621459
220201,San Martin,Bellavista,9.245639713816052,7.021826267242432,7.912001759992286,0.0,43.620948791503906,276186
060803,Cajamarca,Chontali,25.005791185584943,25.39867401123047,10.076229490592716,1.0177775099486433e-13,82.80268859863281,494372
100605,Huanuco,Luyando,12.595581351214575,10.203742980957031,10.761944602197905,0.004540599882602692,71.3669662475586,118560
010307,Amazonas,Jazan,25.035460784435067,24.44512176513672,10.6756120887593,0.1137886494398117,76.09172821044922,80797
010502,Amazonas,Camporredondo,24.571237048490794,23.74475860595703,8.915933270563864,0.07477612048387527,86.86687469482422,233467
010515,Amazonas,Providencia,30.55216817435534,30.91959571838379,8.921243867083517,0.07277557253837585,69.64330291748047,124252
010102,Amazonas,Asuncion,19.702647794849717,18.61095428466797,8.933207358137762,0.17051421105861664,62.822689056396484,37163
010510,Amazonas,Luya Viejo,21.26532006920415,19.34807586669922,11.572444169034611,0.15436773002147675,72.50727844238281,72250
100601,Huanuco,Rupa-Rupa,15.712467913590217,15.439995765686035,10.341167258735164,0.018313173204660416,72.26066589355469,277376
010514,Amazonas,Pisuquia,28.50384170189167,28.92066764831543,10.054593026921161,0.12562088668346405,72.55948638916016,310149
060810,Cajamarca,San Felipe,24.402077319192575,24.82509994506836,8.949307611044437,0.013476992957293987,65.9985122680664,274007
010305,Amazonas,Cuispes,20.590673789201485,18.993738174438477,10.444216574733241,0.06120584160089493,85.80130004882812,102866
060905,Cajamarca,Namballe,25.167111566762344,25.306560516357422,8.911086913648916,0.0477006658911705,68.5082778930664,676931
010119,Amazonas,San Isidro De Maino,19.48966026587888,18.82915496826172,7.948030798460528,0.10520921647548676,64.84716796875,115090
060801,Cajamarca,Jaen,21.516720077558,21.709178924560547,9.740618005662567,0.00257654907181859,71.32347869873047,594136
010513,Amazonas,Ocumal,26.740778052318465,26.118608474731445,9.694318848689827,0.16861142218112946,72.69013214111328,388123
220912,San Martin,San Antonio,17.889018677574914,14.659584045410156,11.156067470007066,0.05844668671488762,74.53359985351562,83362
220903,San Martin,Cacatachi,6.097718227319938,4.924776554107666,5.041199252967268,0.0008433540351688862,38.485164642333984,55842
120602,Junin,Coviriali,20.880949400606614,21.61664581298828,9.609516506614506,0.03798595443367958,59.38279724121094,103855
120304,Junin,San Luis De Shuaro,20.145522041876635,18.915359497070312,9.960753382690694,0.06275913864374161,67.03392791748047,204792
120601,Junin,Satipo,21.0923445819588,21.297563552856445,9.618652048450677,0.010300464928150177,72.57508850097656,867869
010203,Amazonas,Copallin,15.96262022871857,13.931848526000977,10.000139129034697,0.022045399993658066,68.99068450927734,105632
010112,Amazonas,Magdalena,19.61419877101706,18.261690139770508,9.149592509677339,0.1313810646533966,74.50968933105469,144347
220102,San Martin,Calzada,3.7176856487782746,2.260159492492676,4.723973671111472,0.0,67.55119323730469,123432
060805,Cajamarca,Huabal,22.113339768339767,22.473140716552734,8.253923513813847,0.11985724419355392,56.74445724487305,90650
010610,Amazonas,Santa Rosa,13.483855302222016,13.058476448059082,5.796182209931529,0.18211495876312256,49.82512283325195,21557
220503,San Martin,Barranquita,8.565092411586992,4.931554317474365,9.393781919032378,0.0009809518232941628,74.8501968383789,1125400
220801,San Martin,Rioja,9.882533828101133,4.6313676834106445,11.516288103559296,3.5983867117559895e-14,85.78455352783203,222596
220703,San Martin,Caspisapa,9.430268141822586,8.865485191345215,7.292107374991709,0.0,38.17611312866211,80918
080904,Cusco,Maranura,27.839070366801423,28.494945526123047,10.415977733240341,0.058349609375,73.10472869873047,175381
010117,Amazonas,Quinjalca,15.8860436741334,14.043224334716797,9.157043294508282,0.017807113006711006,67.67314910888672,87901
250303,Ucayali,Curimana,7.428274235888242,6.586493968963623,4.786477793874287,0.0,56.1746940612793,1999184
010308,Amazonas,Recta,16.85762565208668,12.241337776184082,11.796530826759197,0.10784485936164856,67.16533660888672,29904
010115,Amazonas,Montevideo,20.65512481219064,19.20413589477539,10.206391984397385,0.09338626265525818,76.59700775146484,131117
010114,Amazonas,Molinopampa,15.803563008897871,14.813225746154785,8.362260478509011,0.013448060490190983,77.18585205078125,362671
010503,Amazonas,Cocabamba,29.94299609343857,31.09119415283203,10.349830917896496,0.031824126839637756,75.4596939086914,363747
060809,Cajamarca,Sallique,25.90949698127471,26.147533416748047,9.364338735055481,0.0,84.41941833496094,391556
010120,Amazonas,Soloco,20.352337750338805,19.781139373779297,8.71749045252846,0.1986667960882187,66.56170654296875,79692
