geocode,distrito,anio,delta_pct_bosque,tipo_cambio,limite_inferior,limite_superior
220909,La Banda De Shilcayo,1987,-0.023926139165433846,PERDIDA EXTREMA,-0.02219,0.01819
250305,Alexander Von Humboldt,2002,-0.023917451215889896,PERDIDA EXTREMA,-0.02219,0.01819
010102,Asuncion,2005,-0.023906720416390304,PERDIDA EXTREMA,-0.02219,0.01819
010102,Asuncion,1993,-0.0238812063070879,PERDIDA EXTREMA,-0.02219,0.01819
250304,Neshuya,2001,-0.02387433664685168,PERDIDA EXTREMA,-0.02219,0.01819
010604,Huambo,1987,-0.023810886612100096,PERDIDA EXTREMA,-0.02219,0.01819
220704,Pilluana,2010,0.02380303089329544,GANANCIA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,2005,-0.023745017438963623,PERDIDA EXTREMA,-0.02219,0.01819
220205,San Pablo,2003,-0.02374021985086472,PERDIDA EXTREMA,-0.02219,0.01819
010705,Jamalca,1989,0.023738759432178402,GANANCIA EXTREMA,-0.02219,0.01819
010515,Providencia,1988,0.023697369927854317,GANANCIA EXTREMA,-0.02219,0.01819
010521,Santo Tomas,2011,0.02366092589666613,GANANCIA EXTREMA,-0.02219,0.01819
220808,Yorongos,1987,-0.02359542009633897,PERDIDA EXTREMA,-0.02219,0.01819
220302,Agua Blanca,2003,-0.023568690634760858,PERDIDA EXTREMA,-0.02219,0.01819
220704,Pilluana,1995,-0.023556300076616465,PERDIDA EXTREMA,-0.02219,0.01819
250105,Yarinacocha,2005,-0.023514935903008516,PERDIDA EXTREMA,-0.02219,0.01819
220705,Pucacaca,2002,-0.023500384965353116,PERDIDA EXTREMA,-0.02219,0.01819
220605,Pajarillo,1987,0.02347582819403038,GANANCIA EXTREMA,-0.02219,0.01819
100605,Luyando,1996,-0.023474996435982387,PERDIDA EXTREMA,-0.02219,0.01819
060801,Jaen,1989,0.023470264544507624,GANANCIA EXTREMA,-0.02219,0.01819
220204,Huallaga,1987,0.023453530659487742,GANANCIA EXTREMA,-0.02219,0.01819
100605,Luyando,2018,0.023403716082431802,GANANCIA EXTREMA,-0.02219,0.01819
220704,Pilluana,1997,-0.023400470087135028,PERDIDA EXTREMA,-0.02219,0.01819
250305,Alexander Von Humboldt,2003,-0.023306170065303722,PERDIDA EXTREMA,-0.02219,0.01819
010308,Recta,2005,-0.02328237010721307,PERDIDA EXTREMA,-0.02219,0.01819
220102,Calzada,1987,-0.023260097153688514,PERDIDA EXTREMA,-0.02219,0.01819
010706,Lonya Grande,1988,0.0232394606921541,GANANCIA EXTREMA,-0.02219,0.01819
220702,Buenos Aires,2010,0.02322409828301447,GANANCIA EXTREMA,-0.02219,0.01819
220203,Bajo Biavo,1988,-0.023218775465683628,PERDIDA EXTREMA,-0.02219,0.01819
220914,Shapaja,2016,0.023180057305733914,GANANCIA EXTREMA,-0.02219,0.01819
080904,Maranura,1996,-0.023120560614005803,PERDIDA EXTREMA,-0.02219,0.01819
220510,Tabalosos,2007,-0.02309950707959396,PERDIDA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,1993,0.023091056302939728,GANANCIA EXTREMA,-0.02219,0.01819
220511,Zapatero,1987,-0.023069049280174392,PERDIDA EXTREMA,-0.02219,0.01819
250306,Huipoca,2007,-0.023067580943937904,PERDIDA EXTREMA,-0.02219,0.01819
010611,Totora,1994,0.02304105330529399,GANANCIA EXTREMA,-0.02219,0.01819
220501,Lamas,1991,-0.023033248889529623,PERDIDA EXTREMA,-0.02219,0.01819
220304,Santa Rosa,2019,0.0230300784298354,GANANCIA EXTREMA,-0.02219,0.01819
010117,Quinjalca,1993,-0.02301205598809497,PERDIDA EXTREMA,-0.02219,0.01819
220704,Pilluana,2018,0.022984923448517602,GANANCIA EXTREMA,-0.02219,0.01819
220906,El Porvenir,2008,-0.022954867288769498,PERDIDA EXTREMA,-0.02219,0.01819
