geocode,departamento,distrito,rmse,mae
220809,San Martin,Yuracyacu,0.006082,0.005661
10604,Amazonas,Huambo,0.00923,0.005529
10301,Amazonas,Jumbilla,0.006483,0.005486
81304,Cusco,Machupicchu,0.006175,0.00546
10512,Amazonas,Ocalli,0.006041,0.00534
221005,San Martin,Uchiza,0.00569,0.005323
10109,Amazonas,La Jalca,0.0055,0.005311
60903,Cajamarca,Huarango,0.005549,0.005176
100601,Huanuco,Rupa-Rupa,0.007659,0.005149
220511,San Martin,Zapatero,0.005956,0.005065
10117,Amazonas,Quinjalca,0.005693,0.005032
10302,Amazonas,Chisquilla,0.007854,0.004951
10601,Amazonas,San Nicolas,0.006498,0.00487
80904,Cusco,Maranura,0.005305,0.004862
10518,Amazonas,San Jeronimo,0.00562,0.004834
10120,Amazonas,Soloco,0.006394,0.004805
10508,Amazonas,Lonya Chico,0.00613,0.004666
220802,San Martin,Awajun,0.005852,0.004467
10111,Amazonas,Levanto,0.005511,0.004372
10516,Amazonas,San Cristobal,0.004599,0.004319
220909,San Martin,La Banda De Shilcayo,0.004752,0.004255
10206,Amazonas,La Peca,0.00467,0.004185
60812,Cajamarca,Santa Rosa,0.005174,0.004069
220910,San Martin,Morales,0.005244,0.003895
10304,Amazonas,Corosha,0.00444,0.003858
10202,Amazonas,Aramango,0.004983,0.003596
50408,Ayacucho,Llochegua,0.004337,0.003494
50502,Ayacucho,Anco,0.003875,0.003482
221006,San Martin,Santa Lucia,0.004004,0.003478
10507,Amazonas,Longuita,0.003827,0.003478
50507,Ayacucho,Santa Rosa,0.004085,0.003467
10703,Amazonas,Cumba,0.003659,0.003444
211205,Puno,Phara,0.005114,0.003339
10311,Amazonas,Valera,0.004134,0.003333
221001,San Martin,Tocache,0.00481,0.003127
10522,Amazonas,Tingo,0.003164,0.00305
10511,Amazonas,Maria,0.004103,0.002985
220804,San Martin,Nueva Cajamarca,0.003757,0.002738
10520,Amazonas,Santa Catalina,0.0028,0.002149
10517,Amazonas,San Francisco Del Yeso,0.002322,0.002111
10519,Amazonas,San Juan De Lopecancha,0.002421,0.002102
10521,Amazonas,Santo Tomas,0.001512,0.000926
