geocode,departamento,distrito,rmse,mae
10603,Amazonas,Cochamal,0.006098510092602234,0.005873791658881511
80408,Cusco,Yanatile,0.007526234022573695,0.0058520730834933695
10609,Amazonas,Omia,0.006296239702284724,0.005824606554853373
10523,Amazonas,Trita,0.008957022558341039,0.005775714013103483
10203,Amazonas,Copallin,0.006793092570728524,0.005705292504159365
160112,Loreto,Belen,0.008490395138059182,0.005690113826870036
100606,Huanuco,Mariano Damaso Beraun,0.0072542765751436285,0.0056820693445539085
220809,San Martin,Yuracyacu,0.006081598544010826,0.005660972254070159
10604,Amazonas,Huambo,0.00923005422167785,0.005529162612328986
10301,Amazonas,Jumbilla,0.006483100995103987,0.005485657897687801
81304,Cusco,Machupicchu,0.006174879301454187,0.005460337671796156
10512,Amazonas,Ocalli,0.006041105974593002,0.005340270271668013
221005,San Martin,Uchiza,0.005690179562979368,0.00532282721331323
10109,Amazonas,La Jalca,0.005500496815389153,0.005310558783701469
60903,Cajamarca,Huarango,0.005549149005955408,0.00517616077534484
100601,Huanuco,Rupa-Rupa,0.007659028391359007,0.005148734831011614
220511,San Martin,Zapatero,0.005956190872728803,0.005065005830918579
10117,Amazonas,Quinjalca,0.005693302220065822,0.0050315957469751925
10302,Amazonas,Chisquilla,0.007854448312527141,0.00495088149438998
10601,Amazonas,San Nicolas,0.006498416165352685,0.004870197661469922
80904,Cusco,Maranura,0.005305311695064639,0.004862468417790922
10518,Amazonas,San Jeronimo,0.005620171367529762,0.004834403080872918
10120,Amazonas,Soloco,0.0063937542257858195,0.004804661949218048
10508,Amazonas,Lonya Chico,0.006129798000292274,0.00466639377814162
220802,San Martin,Awajun,0.0058518743108624816,0.004466716550563676
10111,Amazonas,Levanto,0.005511171682229033,0.004372156019437074
10516,Amazonas,San Cristobal,0.004599382791583076,0.004318670870239738
220909,San Martin,La Banda De Shilcayo,0.004752213508429198,0.00425479455706157
10206,Amazonas,La Peca,0.004669856054508528,0.004184769296221347
60812,Cajamarca,Santa Rosa,0.005173832292627218,0.004069096789890236
220910,San Martin,Morales,0.005244243593782942,0.0038946925611722362
10304,Amazonas,Corosha,0.004439958509407643,0.0038582000609773013
10202,Amazonas,Aramango,0.004983169256232455,0.003595534652357446
50408,Ayacucho,Llochegua,0.004337388138476901,0.0034936419981952405
50502,Ayacucho,Anco,0.0038745144573455975,0.0034815869331653927
221006,San Martin,Santa Lucia,0.0040037434655144245,0.0034784214535633407
10507,Amazonas,Longuita,0.0038266261621865,0.003478155486881185
50507,Ayacucho,Santa Rosa,0.00408476182206607,0.0034673373592823075
10703,Amazonas,Cumba,0.003658803651516603,0.003443597421292399
211205,Puno,Phara,0.005113593782607784,0.0033386924224086513
10311,Amazonas,Valera,0.004133705305371256,0.0033329913711543256
221001,San Martin,Tocache,0.004810256628564328,0.003126783125358834
10522,Amazonas,Tingo,0.003163886755513902,0.0030495759947814782
10511,Amazonas,Maria,0.004102859176120928,0.002985316619883871
220804,San Martin,Nueva Cajamarca,0.0037572723778061517,0.002737960852803978
10520,Amazonas,Santa Catalina,0.002799908357985205,0.0021492601792850287
10517,Amazonas,San Francisco Del Yeso,0.002321892249322325,0.002111436950146628
10519,Amazonas,San Juan De Lopecancha,0.002420883856811696,0.0021024669494666805
10521,Amazonas,Santo Tomas,0.0015117926361593434,0.0009262916732501348
