modelo,geocode,departamento,distrito,horizonte,anio,y_true,y_pred,error,abs_error,squared_error
Persistencia_WF,010204,Amazonas,El Parco,5,2024,0.2777124951037995,0.2830983157070114,0.0053858206032119,0.0053858206032119,2.900706356998191e-05
Persistencia_WF,010206,Amazonas,La Peca,1,2020,0.3393517861977387,0.3420075547591115,0.0026557685613727,0.0026557685613727,7.053106651576069e-06
Persistencia_WF,010206,Amazonas,La Peca,2,2021,0.34056364175487,0.3393517861977387,-0.0012118555571312,0.0012118555571312,1.4685938913499396e-06
Persistencia_WF,010206,Amazonas,La Peca,3,2022,0.3355615145616048,0.34056364175487,0.0050021271932651,0.0050021271932651,2.502127645760268e-05
Persistencia_WF,010206,Amazonas,La Peca,4,2023,0.3283419495403973,0.3355615145616048,0.0072195650212075,0.0072195650212075,5.212211909544312e-05
Persistencia_WF,010206,Amazonas,La Peca,5,2024,0.3235074193922673,0.3283419495403973,0.00483453014813,0.00483453014813,2.3372681753178e-05
Persistencia_WF,010301,Amazonas,Jumbilla,1,2020,0.4139305658346229,0.4126241898226019,-0.0013063760120209,0.0013063760120209,1.7066182847838745e-06
Persistencia_WF,010301,Amazonas,Jumbilla,2,2021,0.4207988517347328,0.4139305658346229,-0.0068682859001099,0.0068682859001099,4.717335120564853e-05
Persistencia_WF,010301,Amazonas,Jumbilla,3,2022,0.4122092892865953,0.4207988517347328,0.0085895624481375,0.0085895624481375,7.378058305045426e-05
Persistencia_WF,010301,Amazonas,Jumbilla,4,2023,0.4029637354504474,0.4122092892865953,0.0092455538361478,0.0092455538361478,8.548026573710898e-05
Persistencia_WF,010301,Amazonas,Jumbilla,5,2024,0.4043822467424701,0.4029637354504474,-0.0014185112920226,0.0014185112920226,2.0121742855958955e-06
Persistencia_WF,010302,Amazonas,Chisquilla,1,2020,0.7520271347446772,0.7494104130132431,-0.0026167217314341,0.0026167217314341,6.8472326197596e-06
Persistencia_WF,010302,Amazonas,Chisquilla,2,2021,0.7532035600609103,0.7520271347446772,-0.001176425316233,0.001176425316233,1.3839765246740934e-06
Persistencia_WF,010302,Amazonas,Chisquilla,3,2022,0.7361508902900933,0.7532035600609103,0.0170526697708169,0.0170526697708169,0.0002907935463125
Persistencia_WF,010302,Amazonas,Chisquilla,4,2023,0.7332483082014436,0.7361508902900933,0.0029025820886496,0.0029025820886496,8.424982781349971e-06
Persistencia_WF,010302,Amazonas,Chisquilla,5,2024,0.7342543167662596,0.7332483082014436,-0.001006008564816,0.001006008564816,1.0120532324832084e-06
Persistencia_WF,010303,Amazonas,Churuja,1,2020,0.7446820405310971,0.7546610761705101,0.009979035639413,0.009979035639413,9.958115229267577e-05
Persistencia_WF,010303,Amazonas,Churuja,2,2021,0.7587421383647799,0.7446820405310971,-0.0140600978336827,0.0140600978336827,0.0001976863510927
Persistencia_WF,010303,Amazonas,Churuja,3,2022,0.7744793850454228,0.7587421383647799,-0.0157372466806429,0.0157372466806429,0.0002476609330874
Persistencia_WF,010303,Amazonas,Churuja,4,2023,0.7756813417190775,0.7744793850454228,-0.0012019566736547,0.0012019566736547,1.4446998453431842e-06
Persistencia_WF,010303,Amazonas,Churuja,5,2024,0.7752341020265548,0.7756813417190775,0.0004472396925226,0.0004472396925226,2.0002334256779389e-07
Persistencia_WF,010304,Amazonas,Corosha,1,2020,0.7392527509077302,0.7368690928240805,-0.0023836580836497,0.0023836580836497,5.681825859748603e-06
Persistencia_WF,010304,Amazonas,Corosha,2,2021,0.741289947060617,0.7392527509077302,-0.0020371961528867,0.0020371961528867,4.150168165336687e-06
Persistencia_WF,010304,Amazonas,Corosha,3,2022,0.7341805482413593,0.741289947060617,0.0071093988192577,0.0071093988192577,5.054355157126366e-05
Persistencia_WF,010304,Amazonas,Corosha,4,2023,0.7282906954183874,0.7341805482413593,0.0058898528229718,0.0058898528229718,3.4690366276269245e-05
Persistencia_WF,010304,Amazonas,Corosha,5,2024,0.7301615898445079,0.7282906954183874,-0.0018708944261204,0.0018708944261204,3.5002459536884875e-06
Persistencia_WF,010305,Amazonas,Cuispes,1,2020,0.6648435266230712,0.6651847889246548,0.0003412623015836,0.0003412623015836,1.1645995848213617e-07
Persistencia_WF,010305,Amazonas,Cuispes,2,2021,0.6788076110716559,0.6648435266230712,-0.0139640844485846,0.0139640844485846,0.0001949956544872
Persistencia_WF,010305,Amazonas,Cuispes,3,2022,0.6911022772341152,0.6788076110716559,-0.0122946661624593,0.0122946661624593,0.0001511588160463
