geocode,departamento,distrito,anio,pct_anp,tiene_anp
220205,San Martin,San Pablo,2008,0.0,0
220705,San Martin,Pucacaca,2008,0.0,0
220601,San Martin,Juanjui,2008,0.0,0
100905,Huanuco,Yuyapichis,2008,0.080361,1
100608,Huanuco,Castillo Grande,2008,0.0,0
220302,San Martin,Agua Blanca,2008,0.0,0
250306,Ucayali,Huipoca,2008,0.0,0
010611,Amazonas,Totora,2008,0.0,0
010706,Amazonas,Lonya Grande,2008,0.0,0
220706,San Martin,San Cristobal,2008,0.0,0
010303,Amazonas,Churuja,2008,0.0,0
220301,San Martin,San Jose De Sisa,2008,0.0,0
010204,Amazonas,El Parco,2008,0.0,0
010306,Amazonas,Florida,2008,0.0,0
220303,San Martin,San Martin,2008,0.0,0
220106,San Martin,Yantalo,2008,0.0,0
220305,San Martin,Shatoja,2008,0.0,0
010104,Amazonas,Cheto,2008,0.0,0
160201,Loreto,Yurimaguas,2008,0.0,0
060901,Cajamarca,San Ignacio,2008,0.0,0
220511,San Martin,Zapatero,2008,0.0,0
060811,Cajamarca,San Jose Del Alto,2008,0.0,0
010206,Amazonas,La Peca,2008,0.0,0
220401,San Martin,Saposoa,2008,0.0,0
060902,Cajamarca,Chirinos,2008,0.0,0
220908,San Martin,Juan Guerra,2008,0.0,0
060904,Cajamarca,La Coipa,2008,0.0,0
220808,San Martin,Yorongos,2008,0.0,0
120607,Junin,Rio Negro,2008,0.0,0
060812,Cajamarca,Santa Rosa,2008,0.0,0
250106,Ucayali,Nueva Requena,2008,0.0,0
220802,San Martin,Awajun,2008,0.34834,1
250302,Ucayali,Irazola,2008,0.0,0
010109,Amazonas,La Jalca,2008,0.0,0
220906,San Martin,El Porvenir,2008,0.0,0
220707,San Martin,San Hilarion,2008,0.0,0
220806,San Martin,Posic,2008,0.0,0
220406,San Martin,Tingo De Saposoa,2008,0.0,0
100901,Huanuco,Puerto Inca,2008,0.107885,1
010105,Amazonas,Chiliquin,2008,0.0,0
220105,San Martin,Soritor,2008,0.0,0
220201,San Martin,Bellavista,2008,0.0,0
060803,Cajamarca,Chontali,2008,0.0,0
100605,Huanuco,Luyando,2008,0.0,0
010307,Amazonas,Jazan,2008,0.0,0
010502,Amazonas,Camporredondo,2008,0.0,0
010515,Amazonas,Providencia,2008,0.0,0
010102,Amazonas,Asuncion,2008,0.0,0
010510,Amazonas,Luya Viejo,2008,0.0,0
100601,Huanuco,Rupa-Rupa,2008,0.0,0
010514,Amazonas,Pisuquia,2008,0.0,0
060810,Cajamarca,San Felipe,2008,0.0,0
010305,Amazonas,Cuispes,2008,0.0,0
060905,Cajamarca,Namballe,2008,0.354845,1
010119,Amazonas,San Isidro De Maino,2008,0.0,0
060801,Cajamarca,Jaen,2008,0.0,0
010513,Amazonas,Ocumal,2008,0.0,0
220912,San Martin,San Antonio,2008,0.48684,1
220903,San Martin,Cacatachi,2008,0.0,0
120602,Junin,Coviriali,2008,0.0,0
120304,Junin,San Luis De Shuaro,2008,0.0,0
120601,Junin,Satipo,2008,0.0,0
010203,Amazonas,Copallin,2008,0.0,0
010112,Amazonas,Magdalena,2008,0.0,0
220102,San Martin,Calzada,2008,0.0,0
060805,Cajamarca,Huabal,2008,0.0,0
010610,Amazonas,Santa Rosa,2008,0.0,0
220503,San Martin,Barranquita,2008,0.234862,1
220801,San Martin,Rioja,2008,0.120253,1
220703,San Martin,Caspisapa,2008,0.0,0
080904,Cusco,Maranura,2008,0.0,0
010117,Amazonas,Quinjalca,2008,0.0,0
250303,Ucayali,Curimana,2008,0.0,0
010308,Amazonas,Recta,2008,0.0,0
010115,Amazonas,Montevideo,2008,0.0,0
010114,Amazonas,Molinopampa,2008,0.0,0
010503,Amazonas,Cocabamba,2008,0.0,0
060809,Cajamarca,Sallique,2008,0.0,0
010120,Amazonas,Soloco,2008,0.0,0
010521,Amazonas,Santo Tomas,2008,0.0,0
100113,Huanuco,San Pablo De Pillao,2008,0.0,0
010602,Amazonas,Chirimoto,2008,0.0,0
100603,Huanuco,Hermilio Valdizan,2008,0.0,0
010111,Amazonas,Levanto,2008,0.0,0
010518,Amazonas,San Jeronimo,2008,0.0,0
010609,Amazonas,Omia,2008,0.0,0
100902,Huanuco,Codo Del Pozuzo,2008,0.0,0
010113,Amazonas,Mariscal Castilla,2008,0.0,0
220101,San Martin,Moyobamba,2008,0.179031,1
010310,Amazonas,Shipasbamba,2008,0.0,0
100103,Huanuco,Chinchao,2008,0.0,0
010311,Amazonas,Valera,2008,0.0,0
060907,Cajamarca,Tabaconas,2008,0.124004,1
160112,Loreto,Belen,2008,0.0,0
200307,Piura,Sondor,2008,0.0,0
220803,San Martin,Elias Soplin Vargas,2008,0.415131,1
010506,Amazonas,Inguilpata,2008,0.0,0
220506,San Martin,Pinto Recodo,2008,0.405655,1
120303,Junin,Pichanaqui,2008,0.106598,1
010202,Amazonas,Aramango,2008,0.0,0
010606,Amazonas,Longar,2008,0.0,0
160101,Loreto,Iquitos,2008,0.148529,1
010507,Amazonas,Longuita,2008,0.00079,1
221001,San Martin,Tocache,2008,0.0,0
010511,Amazonas,Maria,2008,0.0,0
080901,Cusco,Santa Ana,2008,0.0,0
120302,Junin,Perene,2008,0.050018,1
050409,Ayacucho,Canayre,2008,0.0,0
221002,San Martin,Nuevo Progreso,2008,0.001566,1
200303,Piura,El Carmen De La Frontera,2008,0.001006,1
100609,Huanuco,Pueblo Nuevo,2008,0.0,0
080903,Cusco,Huayopata,2008,0.000284,1
010604,Amazonas,Huambo,2008,0.0,0
100505,Huanuco,Jircan,2008,0.0,0
010512,Amazonas,Ocalli,2008,0.0,0
010101,Amazonas,Chachapoyas,2008,0.0233,1
060903,Cajamarca,Huarango,2008,0.0,0
010116,Amazonas,Olleros,2008,0.034633,1
010605,Amazonas,Limabamba,2008,0.0,0
100804,Huanuco,Umari,2008,0.0,0
220504,San Martin,Caynarachi,2008,0.375236,1
080905,Cusco,Ocobamba,2008,0.0,0
010517,Amazonas,San Francisco Del Yeso,2008,0.0,0
120609,Junin,Vizcatán Del Ene,2008,0.0,0
060807,Cajamarca,Pomahuaca,2008,0.0,0
010304,Amazonas,Corosha,2008,0.000488,1
221005,San Martin,Uchiza,2008,0.000699,1
220807,San Martin,San Fernando,2008,0.0,0
050512,Ayacucho,Union Progreso,2008,0.0,0
060804,Cajamarca,Colasay,2008,0.0,0
160503,Loreto,Capelo,2008,0.0,0
220910,San Martin,Morales,2008,0.0,0
120604,Junin,Mazamari,2008,0.0,0
120603,Junin,Llaylla,2008,0.0,0
010520,Amazonas,Santa Catalina,2008,0.0,0
010603,Amazonas,Cochamal,2008,0.0,0
120209,Junin,Mariscal Castilla,2008,0.0,0
010601,Amazonas,San Nicolas,2008,0.0,0
010519,Amazonas,San Juan De Lopecancha,2008,0.0,0
160211,Loreto,Teniente Cesar Lopez Rojas,2008,0.0,0
080408,Cusco,Yanatile,2008,0.002679,1
050408,Ayacucho,Llochegua,2008,0.0,0
100507,Huanuco,Monzon,2008,0.0,0
081304,Cusco,Machupicchu,2008,0.905961,1
220909,San Martin,La Banda De Shilcayo,2008,0.541966,1
220103,San Martin,Habana,2008,0.0,0
100606,Huanuco,Mariano Damaso Beraun,2008,0.06402,1
010508,Amazonas,Lonya Chico,2008,0.0,0
170102,Madre De Dios,Inambari,2008,0.372706,1
050502,Ayacucho,Anco,2008,0.0,0
010523,Amazonas,Trita,2008,0.0,0
010516,Amazonas,San Cristobal,2008,0.0,0
080918,Cusco,Union Ashaninka,2008,0.07284,1
221006,San Martin,Santa Lucia,2008,0.0,0
100702,Huanuco,Cholon,2008,0.0,0
211205,Puno,Phara,2008,0.0,0
170204,Madre De Dios,Huepetuhe,2008,0.362182,1
010302,Amazonas,Chisquilla,2008,0.002463,1
050507,Ayacucho,Santa Rosa,2008,0.0,0
220804,San Martin,Nueva Cajamarca,2008,0.40854,1
220809,San Martin,Yuracyacu,2008,0.0,0
160603,Loreto,Padre Marquez,2008,0.0,0
010522,Amazonas,Tingo,2008,0.104067,1
080906,Cusco,Quellouno,2008,0.000399,1
010301,Amazonas,Jumbilla,2008,0.0,0
080917,Cusco,Manitea,2008,0.0,0
250305,Ucayali,Alexander Von Humboldt,2009,0.0,0
220509,San Martin,Shanao,2009,0.0,0
250304,Ucayali,Neshuya,2009,0.0,0
220501,San Martin,Lamas,2009,0.0,0
220902,San Martin,Alberto Leveau,2009,0.0,0
250102,Ucayali,Campoverde,2009,0.0,0
220702,San Martin,Buenos Aires,2009,0.0,0
220502,San Martin,Alonso De Alvarado,2009,0.0,0
220404,San Martin,Piscoyacu,2009,0.0,0
220708,San Martin,Shamboyacu,2009,0.065954,1
220204,San Martin,Huallaga,2009,0.0,0
220605,San Martin,Pajarillo,2009,0.0,0
010703,Amazonas,Cumba,2009,0.0,0
220704,San Martin,Pilluana,2009,0.0,0
220104,San Martin,Jepelacio,2009,0.0,0
220505,San Martin,Cuñumbuqui,2009,0.0,0
220507,San Martin,Rumisapa,2009,0.0,0
220913,San Martin,Sauce,2009,0.0,0
010608,Amazonas,Milpuc,2009,0.0,0
220405,San Martin,Sacanche,2009,0.0,0
220709,San Martin,Tingo De Ponasa,2009,0.0,0
220304,San Martin,Santa Rosa,2009,0.0,0
100903,Huanuco,Honoria,2009,0.051579,1
220203,San Martin,Bajo Biavo,2009,0.000233,1
220710,San Martin,Tres Unidos,2009,0.080633,1
220510,San Martin,Tabalosos,2009,1.7e-05,1
100904,Huanuco,Tournavista,2009,0.058333,1
010701,Amazonas,Bagua Grande,2009,0.0,0
220701,San Martin,Picota,2009,0.0,0
220403,San Martin,El Eslabon,2009,0.0,0
250105,Ucayali,Yarinacocha,2009,0.0,0
220914,San Martin,Shapaja,2009,0.215793,1
010707,Amazonas,Yamon,2009,0.0,0
010705,Amazonas,Jamalca,2009,0.0,0
220205,San Martin,San Pablo,2009,0.0,0
220705,San Martin,Pucacaca,2009,0.0,0
220601,San Martin,Juanjui,2009,0.0,0
100905,Huanuco,Yuyapichis,2009,0.080361,1
100608,Huanuco,Castillo Grande,2009,0.0,0
220302,San Martin,Agua Blanca,2009,0.0,0
250306,Ucayali,Huipoca,2009,0.0,0
010611,Amazonas,Totora,2009,0.0,0
010706,Amazonas,Lonya Grande,2009,0.0,0
220706,San Martin,San Cristobal,2009,0.0,0
010303,Amazonas,Churuja,2009,0.0,0
220301,San Martin,San Jose De Sisa,2009,0.0,0
010204,Amazonas,El Parco,2009,0.0,0
010306,Amazonas,Florida,2009,0.0,0
220303,San Martin,San Martin,2009,0.0,0
220106,San Martin,Yantalo,2009,0.0,0
220305,San Martin,Shatoja,2009,0.0,0
010104,Amazonas,Cheto,2009,0.0,0
160201,Loreto,Yurimaguas,2009,0.0,0
060901,Cajamarca,San Ignacio,2009,0.0,0
220511,San Martin,Zapatero,2009,0.0,0
060811,Cajamarca,San Jose Del Alto,2009,0.0,0
010206,Amazonas,La Peca,2009,0.0,0
220401,San Martin,Saposoa,2009,0.0,0
060902,Cajamarca,Chirinos,2009,0.0,0
220908,San Martin,Juan Guerra,2009,0.0,0
060904,Cajamarca,La Coipa,2009,0.0,0
220808,San Martin,Yorongos,2009,0.0,0
120607,Junin,Rio Negro,2009,0.0,0
060812,Cajamarca,Santa Rosa,2009,0.0,0
250106,Ucayali,Nueva Requena,2009,0.0,0
220802,San Martin,Awajun,2009,0.34834,1
250302,Ucayali,Irazola,2009,0.0,0
010109,Amazonas,La Jalca,2009,0.0,0
220906,San Martin,El Porvenir,2009,0.0,0
220707,San Martin,San Hilarion,2009,0.0,0
220806,San Martin,Posic,2009,0.0,0
220406,San Martin,Tingo De Saposoa,2009,0.0,0
100901,Huanuco,Puerto Inca,2009,0.107885,1
010105,Amazonas,Chiliquin,2009,0.0,0
220105,San Martin,Soritor,2009,0.0,0
220201,San Martin,Bellavista,2009,0.0,0
060803,Cajamarca,Chontali,2009,0.0,0
100605,Huanuco,Luyando,2009,0.0,0
010307,Amazonas,Jazan,2009,0.0,0
010502,Amazonas,Camporredondo,2009,0.0,0
010515,Amazonas,Providencia,2009,0.0,0
010102,Amazonas,Asuncion,2009,0.0,0
010510,Amazonas,Luya Viejo,2009,0.0,0
100601,Huanuco,Rupa-Rupa,2009,0.0,0
010514,Amazonas,Pisuquia,2009,0.0,0
060810,Cajamarca,San Felipe,2009,0.0,0
010305,Amazonas,Cuispes,2009,0.0,0
060905,Cajamarca,Namballe,2009,0.354845,1
010119,Amazonas,San Isidro De Maino,2009,0.0,0
060801,Cajamarca,Jaen,2009,0.0,0
010513,Amazonas,Ocumal,2009,0.0,0
220912,San Martin,San Antonio,2009,0.48684,1
220903,San Martin,Cacatachi,2009,0.0,0
120602,Junin,Coviriali,2009,0.0,0
120304,Junin,San Luis De Shuaro,2009,0.0,0
120601,Junin,Satipo,2009,0.0,0
010203,Amazonas,Copallin,2009,0.0,0
010112,Amazonas,Magdalena,2009,0.0,0
220102,San Martin,Calzada,2009,0.0,0
060805,Cajamarca,Huabal,2009,0.0,0
010610,Amazonas,Santa Rosa,2009,0.0,0
220503,San Martin,Barranquita,2009,0.234862,1
220801,San Martin,Rioja,2009,0.120253,1
220703,San Martin,Caspisapa,2009,0.0,0
080904,Cusco,Maranura,2009,0.0,0
010117,Amazonas,Quinjalca,2009,0.0,0
